name	rva	size	record
`DX12SwapChain::BeginNativeUI'::`1'::dtor$2	0xb9c20	12	0x110f
`DX12SwapChain::BeginNativeUI'::`1'::dtor$6	0xb9c20	12	0x110f
`DX12SwapChain::ResizeENBScene'::`1'::dtor$7	0xb9c20	12	0x110f
`OSD::EnsureResources'::`1'::dtor$0	0xb9c20	12	0x110f
`ReShadeDepth::Capture'::`1'::dtor$2	0xb9c20	12	0x110f
`Upscaling::CaptureNRAfterSRGuides'::`1'::dtor$2	0xb9c20	12	0x110f
`Upscaling::CaptureNRMotion'::`1'::dtor$2	0xb9c20	12	0x110f
`Upscaling::Upscale'::`1'::dtor$3	0xb9c20	12	0x110f
`DX12SwapChain::SuspendTemporalFeatures'::`1'::dtor$4	0xb9dc0	12	0x110f
`DX12SwapChain::WaitForPresentationCapacity'::`1'::dtor$1	0xb9dc0	12	0x110f
`FidelityFX::DestroyFrameGenerationResources'::`1'::dtor$0	0xb9dc0	12	0x110f
`FidelityFX::DestroyFrameGenerationResources'::`1'::dtor$3	0xb9dc0	12	0x110f
`nvngx::dlss_nr::D3D12Backend::EnsureFeature'::`1'::dtor$0	0xb9dc0	12	0x110f
`nvngx::dlss_nr::D3D12Backend::EnsureFeature'::`1'::dtor$3	0xb9dc0	12	0x110f
`nvngx::dlss_nr::D3D12Backend::EnsureFeature'::`1'::dtor$6	0xb9dc0	12	0x110f
`nvngx::dlss_nr::D3D12Backend::EnsureFeature'::`1'::dtor$9	0xb9dc0	12	0x110f
`nvngx::dlss_nr::D3D12Backend::PrepareFeature'::`1'::dtor$0	0xb9dc0	12	0x110f
`nvngx::dlss_nr::D3D12Backend::PrepareFeature'::`1'::dtor$3	0xb9dc0	12	0x110f
`D3D11D3D12SharedTexture::D3D11D3D12SharedTexture'::`1'::dtor$0	0xb9dd0	12	0x110f
`D3D11D3D12SharedTexture::D3D11D3D12SharedTexture'::`1'::dtor$1	0xb9de0	16	0x110f
``DX12SwapChain::PrepareNativeUIForEngineComposition'::`2'::RestoreTargets::RestoreTargets'::`1'::dtor$0	0xb9df0	16	0x110f
``DX12SwapChain::PrepareNativeUIForEngineComposition'::`2'::RestoreTargets::RestoreTargets'::`1'::dtor$1	0xb9e00	19	0x110f
`Upscaling::Upscaling'::`1'::dtor$0	0xb9e20	19	0x110f
